,t # 0
0,v 0 0
1,v 1 0
2,v 2 0
3,v 3 0
4,v 4 0
5,v 5 0
6,v 6 0
7,v 7 0
8,v 8 0
9,v 9 0
10,v 10 0
11,v 11 0
12,v 12 0
13,v 13 0
14,v 14 0
15,v 15 0
16,v 16 0
17,v 17 0
18,v 18 0
19,v 19 0
20,v 20 0
21,v 21 0
22,v 22 0
23,v 23 0
24,v 24 1
25,v 25 1
26,v 26 1
27,v 27 1
28,v 28 1
29,v 29 1
30,v 30 1
31,v 31 1
32,v 32 1
33,v 33 1
34,v 34 1
35,v 35 1
36,v 36 1
37,e 0 1 0
38,e 0 3 0
39,e 0 2 0
40,e 1 2 0
41,e 1 24 0
42,e 1 3 0
43,e 1 27 0
44,e 2 3 0
45,e 2 28 0
46,e 2 27 0
47,e 3 5 0
48,e 3 4 0
49,e 3 28 0
50,e 4 29 0
51,e 4 5 0
52,e 4 6 0
53,e 5 29 0
54,e 5 6 0
55,e 5 7 0
56,e 6 7 0
57,e 6 8 0
58,e 7 10 0
59,e 7 8 0
60,e 7 9 0
61,e 8 9 0
62,e 9 10 0
63,e 9 11 0
64,e 9 12 0
65,e 10 11 0
66,e 10 12 0
67,e 11 12 0
68,e 11 26 0
69,e 12 25 0
70,e 12 26 0
71,e 13 16 0
72,e 13 25 0
73,e 13 15 0
74,e 13 14 0
75,e 14 16 0
76,e 14 25 0
77,e 14 15 0
78,e 15 16 0
79,e 15 17 0
80,e 16 17 0
81,e 17 18 0
82,e 17 19 0
83,e 18 20 0
84,e 18 19 0
85,e 19 20 0
86,e 20 22 0
87,e 20 30 0
88,e 20 23 0
89,e 20 21 0
90,e 21 30 0
91,e 21 23 0
92,e 21 35 0
93,e 21 22 0
94,e 22 23 0
95,e 22 35 0
96,e 23 33 0
97,e 24 29 0
98,e 24 28 0
99,e 24 27 0
100,e 25 29 0
101,e 25 26 0
102,e 26 29 0
103,e 26 28 0
104,e 27 29 0
105,e 27 28 0
106,e 28 29 0
107,e 30 34 0
108,e 30 33 0
109,e 30 35 0
110,e 31 34 0
111,e 31 36 0
112,e 31 32 0
113,e 32 34 0
114,e 32 36 0
115,e 32 33 0
116,e 33 34 0
117,e 33 35 0
118,e 33 36 0
119,e 34 35 0
120,e 34 36 0
121,t # 1
122,v 0 0
123,v 1 0
124,v 2 0
125,v 3 0
126,v 4 0
127,v 5 0
128,v 6 0
129,v 7 0
130,v 8 0
131,v 9 0
132,v 10 0
133,v 11 0
134,v 12 0
135,v 13 0
136,v 14 0
137,v 15 1
138,v 16 1
139,v 17 1
140,v 18 1
141,v 19 1
142,v 20 1
143,v 21 1
144,v 22 1
145,e 0 1 0
146,e 0 15 0
147,e 0 2 0
148,e 1 2 0
149,e 1 18 0
150,e 1 3 0
151,e 1 15 0
152,e 2 18 0
153,e 2 3 0
154,e 2 4 0
155,e 2 19 0
156,e 3 5 0
157,e 3 19 0
158,e 3 4 0
159,e 4 20 0
160,e 4 5 0
161,e 4 6 0
162,e 5 20 0
163,e 5 6 0
164,e 5 7 0
165,e 6 20 0
166,e 6 7 0
167,e 6 8 0
168,e 7 20 0
169,e 7 8 0
170,e 7 9 0
171,e 8 17 0
172,e 8 9 0
173,e 9 10 0
174,e 9 16 0
175,e 9 17 0
176,e 10 16 0
177,e 10 11 0
178,e 10 12 0
179,e 11 13 0
180,e 11 12 0
181,e 11 14 0
182,e 11 21 0
183,e 12 22 0
184,e 12 13 0
185,e 12 14 0
186,e 12 21 0
187,e 13 14 0
188,e 13 22 0
189,e 13 21 0
190,e 15 18 0
191,e 15 19 0
192,e 16 17 0
193,e 18 19 0
194,e 19 20 0
195,e 21 22 0
196,t # 2
197,v 0 0
198,v 1 0
199,v 2 0
200,v 3 0
201,v 4 0
202,v 5 0
203,v 6 0
204,v 7 0
205,v 8 0
206,v 9 0
207,v 10 0
208,v 11 0
209,v 12 0
210,v 13 0
211,v 14 0
212,v 15 0
213,v 16 0
214,v 17 0
215,v 18 0
216,v 19 1
217,v 20 1
218,v 21 1
219,v 22 1
220,v 23 1
221,v 24 1
222,e 0 1 0
223,e 0 19 0
224,e 0 22 0
225,e 1 19 0
226,e 1 22 0
227,e 2 23 0
228,e 2 3 0
229,e 2 22 0
230,e 3 23 0
231,e 3 4 0
232,e 4 5 0
233,e 4 23 0
234,e 4 24 0
235,e 5 7 0
236,e 5 6 0
237,e 5 24 0
238,e 6 7 0
239,e 6 8 0
240,e 6 24 0
241,e 7 10 0
242,e 7 24 0
243,e 7 8 0
244,e 7 9 0
245,e 8 10 0
246,e 8 9 0
247,e 9 10 0
248,e 10 11 0
249,e 10 21 0
250,e 11 20 0
251,e 11 21 0
252,e 12 13 0
253,e 12 14 0
254,e 12 15 0
255,e 12 20 0
256,e 13 14 0
257,e 13 15 0
258,e 14 15 0
259,e 15 16 0
260,e 15 18 0
261,e 15 17 0
262,e 16 18 0
263,e 16 17 0
264,e 17 18 0
265,e 19 22 0
266,e 20 21 0
267,e 22 23 0
268,t # 3
269,v 0 0
270,v 1 0
271,v 2 0
272,v 3 0
273,v 4 0
274,v 5 0
275,v 6 0
276,v 7 0
277,v 8 0
278,v 9 0
279,v 10 0
280,v 11 0
281,v 12 0
282,v 13 0
283,v 14 0
284,v 15 0
285,v 16 0
286,v 17 0
287,v 18 1
288,v 19 1
289,v 20 1
290,v 21 1
291,v 22 1
292,v 23 1
293,e 0 1 0
294,e 0 18 0
295,e 0 21 0
296,e 1 2 0
297,e 1 18 0
298,e 1 21 0
299,e 2 22 0
300,e 2 21 0
301,e 3 23 0
302,e 3 4 0
303,e 3 22 0
304,e 4 5 0
305,e 4 23 0
306,e 4 6 0
307,e 5 7 0
308,e 5 23 0
309,e 5 6 0
310,e 6 7 0
311,e 6 8 0
312,e 6 23 0
313,e 7 8 0
314,e 7 9 0
315,e 8 10 0
316,e 8 9 0
317,e 9 10 0
318,e 10 20 0
319,e 10 11 0
320,e 11 20 0
321,e 11 12 0
322,e 11 19 0
323,e 12 20 0
324,e 12 19 0
325,e 13 16 0
326,e 13 15 0
327,e 13 19 0
328,e 13 14 0
329,e 14 16 0
330,e 14 17 0
331,e 14 15 0
332,e 15 16 0
333,e 15 17 0
334,e 16 17 0
335,e 18 21 0
336,e 19 20 0
337,e 21 22 0
338,t # 4
339,v 0 0
340,v 1 0
341,v 2 0
342,v 3 0
343,v 4 0
344,v 5 0
345,v 6 0
346,v 7 0
347,v 8 0
348,v 9 0
349,v 10 0
350,v 11 0
351,v 12 0
352,v 13 0
353,v 14 0
354,v 15 0
355,v 16 0
356,v 17 0
357,v 18 1
358,v 19 1
359,v 20 1
360,v 21 1
361,v 22 1
362,e 0 20 0
363,e 0 1 0
364,e 0 2 0
365,e 1 2 0
366,e 1 20 0
367,e 2 3 0
368,e 2 4 0
369,e 2 20 0
370,e 2 19 0
371,e 3 4 0
372,e 3 19 0
373,e 4 5 0
374,e 4 18 0
375,e 5 7 0
376,e 5 18 0
377,e 5 6 0
378,e 6 7 0
379,e 6 8 0
380,e 6 18 0
381,e 7 10 0
382,e 7 18 0
383,e 7 8 0
384,e 7 9 0
385,e 8 10 0
386,e 8 9 0
387,e 9 10 0
388,e 10 11 0
389,e 10 22 0
390,e 10 21 0
391,e 11 21 0
392,e 11 22 0
393,e 12 13 0
394,e 12 14 0
395,e 12 15 0
396,e 12 22 0
397,e 13 14 0
398,e 13 15 0
399,e 14 16 0
400,e 14 17 0
401,e 14 15 0
402,e 15 16 0
403,e 15 17 0
404,e 16 17 0
405,e 19 20 0
406,e 21 22 0
407,t # 5
408,v 0 0
409,v 1 0
410,v 2 0
411,v 3 0
412,v 4 0
413,v 5 0
414,v 6 0
415,v 7 0
416,v 8 0
417,v 9 0
418,v 10 0
